Table E1a. Charge Receipts by Basis or Statute (All Statutes) FY 1997 - FY 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FY 1997 ,FY 1998 ,FY 1999 ,FY 2000 ,FY 2001 ,FY 2002 ,FY 2003 ,FY 2004 ,FY 2005 ,FY 2006 ,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
,0.90%,1.20%,1.70%,1.60%,1.40%,1.60%,1.90%,1.20%,1.40%,1.60%,2.10%,2.80%,3.20%,2.80%,2.80%,2.70%,3.40%,3.10%,3.20%,3.40%,3.80%,4.10%,4.70%,5.30%,5.70%,5.60%,7.20%
Retaliation - All Statutes,"18,198","19,114","19,694","21,613","22,257","22,768","22,690","22,740","22,278","22,555","26,663","32,690","33,613","36,258","37,334","37,836","38,539","37,955","39,757","42,018","41,097","39,469","39,110","37,632","34,332","37,898","46,047"
,22.60%,24.00%,25.40%,27.10%,27.50%,27.00%,27.90%,28.60%,29.50%,29.80%,32.30%,34.30%,36.00%,36.30%,37.40%,38.10%,41.10%,42.80%,44.50%,45.90%,48.80%,51.60%,53.80%,55.80%,56.00%,51.60%,56.80%
Retaliation - Title VII only,"16,394","17,246","17,883","19,753","20,407","20,814","20,615","20,240","19,429","19,560","23,371","28,698","28,948","30,948","31,429","31,208","31,478","30,771","31,893","33,082","32,023","30,556","30,117","27,997","25,121","28,462","31,972"
,20.30%,21.70%,23.10%,24.70%,25.20%,24.60%,25.40%,25.50%,25.80%,25.80%,28.30%,30.10%,31.00%,31.00%,31.40%,31.40%,33.60%,34.70%,35.70%,36.20%,38.00%,40.00%,41.40%,41.50%,41.00%,38.70%,39.40%
Age,"15,785","15,191","14,141","16,008","17,405","19,921","19,124","17,837","16,585","16,548","19,103","24,582","22,778","23,264","23,465","22,857","21,396","20,588","20,144","20,857","18,376","16,911","15,573","14,183","12,965","11,500","14,144"
,19.60%,19.10%,18.30%,20.00%,21.50%,23.60%,23.50%,22.50%,22.00%,21.80%,23.20%,25.80%,24.40%,23.30%,23.50%,23.00%,22.80%,23.20%,22.50%,22.80%,21.80%,22.10%,21.40%,21.00%,21.10%,15.60%,17.40%
Disability,"18,108","17,806","17,007","15,864","16,470","15,964","15,377","15,376","14,893","15,575","17,734","19,453","21,451","25,165","25,742","26,379","25,957","25,369","26,968","28,073","26,838","24,605","24,238","24,324","22,843","25,004","29,160"
,22.40%,22.40%,22.00%,19.90%,20.40%,18.90%,18.90%,19.40%,19.70%,20.60%,21.40%,20.40%,23.00%,25.20%,25.80%,26.50%,27.70%,28.60%,30.20%,30.70%,31.90%,32.20%,33.40%,36.10%,37.20%,34.00%,36.00%
Equal Pay Act,"1,134","1,071","1,044","1,270","1,251","1,256","1,167","1,011",970,861,818,954,942,"1,044",919,"1,082","1,019",938,973,"1,075",996,"1,066","1,117",980,885,955,"1,012"
,1.40%,1.30%,1.30%,1.60%,1.50%,1.50%,1.40%,1.30%,1.30%,1.10%,1.00%,1.00%,1.00%,1.00%,0.90%,1.10%,1.10%,1.10%,1.10%,1.20%,1.20%,1.40%,1.50%,1.50%,1.40%,1.30%,1.20%
Genetic Information Nondiscrimination Act,,,,,,,,,,,,,,201,245,280,333,333,257,238,206,220,209,440,242,444,361
,,,,,,,,,,,,,,0.20%,0.20%,0.30%,0.40%,0.40%,0.30%,0.30%,0.20%,0.30%,0.30%,0.70%,0.40%,0.60%,0.40%
Pregnant Workers Fairness Act*,,,,,,,,,,,,,,,,,,,,,,,,,,,188
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20%
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In FY 2022, there was a significant increase in vaccine-related charges filed on the basis of religion. As a result, FY 2022 data may vary compared to previous years.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"*The Pregnant Workers Fairness Act (PWFA) went into effect on June 27, 2023. As a result, the number of charges reflects the charges filed between June 27, 2023 and September 30, 2023. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data includes all charges filed under the above referenced statute, basis, or issue, as well as those filed concurrently under other statutes, bases, or issues enforced by the EEOC. Therefore, the sum of data across statutes, bases, or issues will exceed actual totals.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,
This does not include charges filed with state or local Fair Employment Practices Agencies. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
The total of individual percentages may not always sum to 100% due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,
